ID,labels
Ta_OLI_01,Not_offensive
Ta_OLI_02,Not_offensive
Ta_OLI_03,not-Tamil
Ta_OLI_04,Not_offensive
Ta_OLI_05,Not_offensive
Ta_OLI_06,Not_offensive
Ta_OLI_07,Not_offensive
Ta_OLI_08,Not_offensive
Ta_OLI_09,Not_offensive
Ta_OLI_10,Not_offensive
Ta_OLI_11,Not_offensive
Ta_OLI_12,Not_offensive
Ta_OLI_13,Not_offensive
Ta_OLI_14,Offensive_Targeted_Insult_Group
Ta_OLI_15,Not_offensive
Ta_OLI_16,Not_offensive
Ta_OLI_17,Not_offensive
Ta_OLI_18,Not_offensive
Ta_OLI_19,Not_offensive
Ta_OLI_20,Not_offensive
Ta_OLI_21,Offensive_Targeted_Insult_Group
Ta_OLI_22,Not_offensive
Ta_OLI_23,Not_offensive
Ta_OLI_24,Not_offensive
Ta_OLI_25,Not_offensive
Ta_OLI_26,Not_offensive
Ta_OLI_27,Not_offensive
Ta_OLI_28,Offensive_Untargetede
Ta_OLI_29,Not_offensive
Ta_OLI_30,Not_offensive
Ta_OLI_31,Not_offensive
Ta_OLI_32,Not_offensive
Ta_OLI_33,Not_offensive
Ta_OLI_34,Not_offensive
Ta_OLI_35,Not_offensive
Ta_OLI_36,Offensive_Untargetede
Ta_OLI_37,Not_offensive
Ta_OLI_38,Not_offensive
Ta_OLI_39,Not_offensive
Ta_OLI_40,Not_offensive
Ta_OLI_41,Not_offensive
Ta_OLI_42,Not_offensive
Ta_OLI_43,Not_offensive
Ta_OLI_44,Not_offensive
Ta_OLI_45,Not_offensive
Ta_OLI_46,Not_offensive
Ta_OLI_47,Not_offensive
Ta_OLI_48,Not_offensive
Ta_OLI_49,not-Tamil
Ta_OLI_50,Not_offensive
Ta_OLI_51,Not_offensive
Ta_OLI_52,Offensive_Targeted_Insult_Group
Ta_OLI_53,Not_offensive
Ta_OLI_54,Not_offensive
Ta_OLI_55,Not_offensive
Ta_OLI_56,Not_offensive
Ta_OLI_57,Not_offensive
Ta_OLI_58,Not_offensive
Ta_OLI_59,Not_offensive
Ta_OLI_60,Not_offensive
Ta_OLI_61,Not_offensive
Ta_OLI_62,Not_offensive
Ta_OLI_63,Not_offensive
Ta_OLI_64,Not_offensive
Ta_OLI_65,Not_offensive
Ta_OLI_66,Not_offensive
Ta_OLI_67,Offensive_Targeted_Insult_Individual
Ta_OLI_68,Not_offensive
Ta_OLI_69,Not_offensive
Ta_OLI_70,Not_offensive
Ta_OLI_71,Not_offensive
Ta_OLI_72,Not_offensive
Ta_OLI_73,Not_offensive
Ta_OLI_74,Not_offensive
Ta_OLI_75,Not_offensive
Ta_OLI_76,Not_offensive
Ta_OLI_77,Not_offensive
Ta_OLI_78,Not_offensive
Ta_OLI_79,Not_offensive
Ta_OLI_80,Not_offensive
Ta_OLI_81,Offensive_Targeted_Insult_Individual
Ta_OLI_82,Not_offensive
Ta_OLI_83,Not_offensive
Ta_OLI_84,Not_offensive
Ta_OLI_85,Not_offensive
Ta_OLI_86,Not_offensive
Ta_OLI_87,Not_offensive
Ta_OLI_88,Not_offensive
Ta_OLI_89,Not_offensive
Ta_OLI_90,Not_offensive
Ta_OLI_91,Not_offensive
Ta_OLI_92,Not_offensive
Ta_OLI_93,Not_offensive
Ta_OLI_94,Not_offensive
Ta_OLI_95,Not_offensive
Ta_OLI_96,Not_offensive
Ta_OLI_97,Not_offensive
Ta_OLI_98,Not_offensive
Ta_OLI_99,Not_offensive
Ta_OLI_100,Not_offensive
Ta_OLI_101,Not_offensive
Ta_OLI_102,Not_offensive
Ta_OLI_103,Not_offensive
Ta_OLI_104,Not_offensive
Ta_OLI_105,Not_offensive
Ta_OLI_106,Not_offensive
Ta_OLI_107,Not_offensive
Ta_OLI_108,Not_offensive
Ta_OLI_109,Offensive_Untargetede
Ta_OLI_110,Not_offensive
Ta_OLI_111,Offensive_Targeted_Insult_Group
Ta_OLI_112,Not_offensive
Ta_OLI_113,Not_offensive
Ta_OLI_114,Not_offensive
Ta_OLI_115,Not_offensive
Ta_OLI_116,not-Tamil
Ta_OLI_117,Not_offensive
Ta_OLI_118,Not_offensive
Ta_OLI_119,Not_offensive
Ta_OLI_120,Not_offensive
Ta_OLI_121,Not_offensive
Ta_OLI_122,Offensive_Untargetede
Ta_OLI_123,Not_offensive
Ta_OLI_124,Not_offensive
Ta_OLI_125,Not_offensive
Ta_OLI_126,Not_offensive
Ta_OLI_127,Not_offensive
Ta_OLI_128,Offensive_Targeted_Insult_Individual
Ta_OLI_129,Not_offensive
Ta_OLI_130,Not_offensive
Ta_OLI_131,Not_offensive
Ta_OLI_132,Offensive_Targeted_Insult_Individual
Ta_OLI_133,Not_offensive
Ta_OLI_134,Not_offensive
Ta_OLI_135,Not_offensive
Ta_OLI_136,Not_offensive
Ta_OLI_137,Not_offensive
Ta_OLI_138,Not_offensive
Ta_OLI_139,Not_offensive
Ta_OLI_140,Not_offensive
Ta_OLI_141,Not_offensive
Ta_OLI_142,Offensive_Targeted_Insult_Group
Ta_OLI_143,Not_offensive
Ta_OLI_144,Not_offensive
Ta_OLI_145,Not_offensive
Ta_OLI_146,Not_offensive
Ta_OLI_147,Not_offensive
Ta_OLI_148,Not_offensive
Ta_OLI_149,Not_offensive
Ta_OLI_150,Not_offensive
Ta_OLI_151,Not_offensive
Ta_OLI_152,Not_offensive
Ta_OLI_153,Not_offensive
Ta_OLI_154,Not_offensive
Ta_OLI_155,Offensive_Targeted_Insult_Individual
Ta_OLI_156,Not_offensive
Ta_OLI_157,Not_offensive
Ta_OLI_158,Not_offensive
Ta_OLI_159,Not_offensive
Ta_OLI_160,Not_offensive
Ta_OLI_161,Not_offensive
Ta_OLI_162,not-Tamil
Ta_OLI_163,Not_offensive
Ta_OLI_164,Not_offensive
Ta_OLI_165,Not_offensive
Ta_OLI_166,Not_offensive
Ta_OLI_167,Not_offensive
Ta_OLI_168,Not_offensive
Ta_OLI_169,Not_offensive
Ta_OLI_170,Not_offensive
Ta_OLI_171,Not_offensive
Ta_OLI_172,Not_offensive
Ta_OLI_173,Not_offensive
Ta_OLI_174,Not_offensive
Ta_OLI_175,Not_offensive
Ta_OLI_176,Not_offensive
Ta_OLI_177,Not_offensive
Ta_OLI_178,Not_offensive
Ta_OLI_179,Offensive_Targeted_Insult_Individual
Ta_OLI_180,Not_offensive
Ta_OLI_181,Not_offensive
Ta_OLI_182,Not_offensive
Ta_OLI_183,Not_offensive
Ta_OLI_184,Not_offensive
Ta_OLI_185,Not_offensive
